strategy,stake_mode,fraction_scale,bets,total_staked,total_pnl,turnover_roi,ending_bankroll,bankroll_return,max_drawdown,average_stake,median_stake,average_fraction,mc_p5_pnl,mc_p50_pnl,mc_p95_pnl,mc_p5_bankroll,mc_p50_bankroll,mc_p95_bankroll,mc_positive_prob,mc_actual_percentile,evaluation_scope
baseline_fixed,fixed,1.0,584,584.0,276.227,0.4729914383561643,376.2270000000009,2.762270000000009,-0.0282832092014707,1.0,1.0,0.0,195.7036,240.1180000000002,283.6154500000007,295.7036,340.11800000000017,383.6154500000007,1.0,91.61,B
kelly_100,kelly,1.0,584,3741591717354.7646,940927908862.2948,0.2514779751350084,940927908962.2952,9409279088.622952,-0.3877539282288045,6406835132.456789,1074738.630510333,0.0877171647687265,812320010.8697255,25305876179.74809,626549933640.315,812320110.8697255,25305876279.74809,626549933740.315,1.0,96.79,B
kelly_50,kelly,0.5,584,69896913.09071179,21749266.876359142,0.3111620515792032,21749366.87635914,217492.66876359135,-0.2019104387297398,119686.4950183421,2163.2157246181646,0.0438585823843632,652088.1902337816,3934221.319859628,22436791.356567454,652188.1902337816,3934321.319859628,22436891.356567454,1.0,94.71,B
kelly_25,kelly,0.25,584,152020.47803330296,58653.303027057074,0.3858250137472134,58753.30302705706,586.5330302705706,-0.1023264452749086,260.3090377282585,54.30653672565137,0.0219292911921816,10061.76106853898,26162.94625102931,65857.48388407256,10161.76106853898,26262.94625102931,65957.48388407256,1.0,92.72,B
baseline_fixed,fixed,1.0,1054,1054.0,391.085,0.3710483870967742,491.0850000000016,3.910850000000016,-0.0582718468399515,1.0,1.0,0.0,349.2111000000009,409.6525000000014,469.1036000000008,449.2111000000009,509.6525000000014,569.1036000000007,1.0,31.12,ALL
kelly_100,kelly,1.0,1054,6.3178728810357496e+16,1.5888058792989308e+16,0.25147797513749,1.5888058792989406e+16,158880587929893.06,-0.6268477960247618,59941867941515.65,860164.184925379,0.0875508815909989,161338270610801.25,1.6702270048141124e+16,1.4717645521464722e+18,161338270610901.25,1.6702270048141224e+16,1.4717645521464722e+18,1.0,49.29,ALL
kelly_50,kelly,0.5,1054,15820488058.287296,4922731914.77291,0.311161823619861,4922732014.772909,49227319.14772909,-0.3713521443242563,15009950.719437664,2322.098391411015,0.0437754407954994,551652891.9065429,6398999049.502444,68136346242.10769,551652991.9065429,6398999149.502444,68136346342.10769,1.0,42.81,ALL
kelly_25,kelly,0.25,1054,2680833.933669731,1033666.4396135528,0.3855764531444106,1033766.439613553,10336.66439613553,-0.2020861659526321,2543.485705569005,59.85366157338659,0.0218877203977497,361605.5382722573,1304090.017578152,4571356.719786162,361705.5382722573,1304190.017578152,4571456.719786162,1.0,38.46,ALL
