ev_threshold,bets,total_pnl,roi,win_rate,mean_tail_ev,mc_p50,mc_p5,mc_p95,mc_actual_percentile
0.015,1363,254.325,0.1865920763022744,0.471019809244314,0.19712098836402192,267.0465,165.43504999999996,372.57460000000003,42.38
0.02,1193,276.215,0.23152975691533945,0.5020955574182733,0.2185236146144346,258.85999999999996,168.6071,355.43935,62.28
0.025,1321,268.335,0.20313020439061316,0.4708554125662377,0.2084818326830177,276.86699999999996,173.11870000000002,382.19620000000003,44.96
0.03,1265,256.475,0.20274703557312254,0.47193675889328063,0.21648609647913225,273.08599999999996,175.34969999999998,375.0966,39.94
0.035,1185,237.37599999999998,0.20031729957805905,0.4751054852320675,0.22890266926959005,270.48850000000004,177.2405,370.90895,27.939999999999998
0.04,537,268.658,0.5002942271880819,0.7411545623836127,0.44378446759420204,238.65200000000002,195.56634999999997,282.25655,87.86
0.045,997,225.986,0.22666599799398193,0.5035105315947843,0.264531210816583,264.23949999999996,178.33689999999999,350.65705,24.16
0.05,1067,204.54599999999996,0.1917019681349578,0.47797563261480785,0.25799079789173535,274.42449999999997,183.5734,370.0069,10.56
0.055,758,263.47799999999995,0.34759630606860153,0.5804749340369393,0.33204664413958335,251.50599999999997,187.06595,323.2685000000001,60.96
0.06,507,253.928,0.5008441814595661,0.7297830374753451,0.46766430829424027,237.277,193.73585,284.38644999999997,72.92
