evaluation_scope,threshold_1x2,threshold_hc,threshold_ou,bets,total_pnl,roi,win_rate,mean_tail_ev,mean_base_ev,mean_raw_ev,mc_p5,mc_p50,mc_p95,mc_positive_prob,mc_actual_percentile
B,0.04,0.023,0.03,584,276.227,0.4729914383561643,0.7294520547945206,0.410773984212858,0.4107748570227253,0.4149648529070664,195.7036,240.118,283.61545,1.0,91.61
ALL,0.04,0.023,0.03,1054,391.085,0.3710483870967742,0.6774193548387096,0.3878783354442324,0.3878791247178755,0.4046917393573377,349.2111,409.6525,469.1036,1.0,31.12
