odds_type,side,n_train,method,alpha,win_rate,raw_brier,cal_brier,raw_logloss,cal_logloss
1X2,away,764,isotonic_shrink,0.6044303797468354,0.3586387434554974,0.21205140537261616,0.20828667489250954,0.614040717830773,0.604988502007765
1X2,draw,764,isotonic_shrink,0.6044303797468354,0.08769633507853403,0.07971164025484519,0.07881561701375954,0.2951933686844906,0.2895168814378401
1X2,home,764,isotonic_shrink,0.6044303797468354,0.5536649214659686,0.22798644873771867,0.22447942293047796,0.6477975372964883,0.6396224480835259
HC,away,307,isotonic_shrink,0.38042131350681535,0.36807817589576547,0.17918136602157853,0.17455027678213175,0.5280690920039831,0.5140469148362993
HC,home,307,isotonic_shrink,0.38042131350681535,0.6319218241042345,0.17918136602157853,0.17455027678213178,0.5280690920039831,0.5140469148362993
HC,push,307,identity,0.0,0.0,1e-12,1e-12,1.000000500029089e-06,1.000000500029089e-06
OU,over,437,isotonic_shrink,0.4663820704375667,0.4782608695652174,0.2637941872142998,0.2541717496785305,0.7217135318085222,0.7015218868462285
OU,under,437,isotonic_shrink,0.4663820704375667,0.5217391304347826,0.2637941872142998,0.25417174967853046,0.7217135318085222,0.7015218868462285
