strategy,stake_mode,fraction_scale,bets,total_staked,total_pnl,turnover_roi,ending_bankroll,bankroll_return,max_drawdown,average_stake,median_stake,average_fraction,mc_p5_pnl,mc_p50_pnl,mc_p95_pnl,mc_p5_bankroll,mc_p50_bankroll,mc_p95_bankroll,mc_positive_prob,mc_actual_percentile
baseline_fixed,fixed,1.0,584,584.0,276.227,0.47299143835616436,376.2270000000009,2.762270000000009,-0.028283209201470726,1.0,1.0,0.0,195.7036,240.1180000000002,283.6154500000007,295.7036,340.11800000000017,383.6154500000007,1.0,91.61
kelly_100,kelly,1.0,584,3741591717354.7646,940927908862.2949,0.2514779751350084,940927908962.2952,9409279088.622952,-0.3877539282288045,6406835132.456789,1074738.630510333,0.08771716476872651,812320010.8697255,25305876179.74809,626549933640.315,812320110.8697255,25305876279.74809,626549933740.315,1.0,96.78999999999999
kelly_50,kelly,0.5,584,69896913.09071179,21749266.876359142,0.3111620515792032,21749366.87635914,217492.66876359138,-0.20191043872973982,119686.4950183421,2163.2157246181646,0.04385858238436326,652088.1902337816,3934221.319859628,22436791.356567454,652188.1902337816,3934321.319859628,22436891.356567454,1.0,94.71000000000001
kelly_25,kelly,0.25,584,152020.47803330296,58653.303027057074,0.38582501374721345,58753.30302705706,586.5330302705706,-0.10232644527490864,260.3090377282585,54.30653672565137,0.02192929119218163,10061.76106853898,26162.94625102931,65857.48388407256,10161.76106853898,26262.94625102931,65957.48388407256,1.0,92.72
