strategy,initial_bankroll,fee_rate,min_fee,max_bet,available_bets,bets_placed,bets_skipped_after_bust,bets_hitting_cap,total_staked,total_fees,total_pnl,ending_bankroll,bankroll_return,turnover_roi,max_drawdown,busted,bust_date,max_stake,avg_stake,daily_return_sharpe_proxy
kelly_100,100.0,0.03,0.1,5000.0,850,850,0,675,3708146.604821572,111244.83843911291,1299009.5337177487,1299109.5337177482,12990.095337177483,0.3503123452639905,-0.8834567461770851,False,,5000.0,4362.525417437144,5.19311319395546
kelly_50,100.0,0.03,0.1,5000.0,850,850,0,598,3376214.9365375144,101287.1852007906,1246238.0893487195,1246338.0893487192,12462.380893487192,0.3691228528912327,-0.4417283730885425,False,,5000.0,3972.017572397076,5.320734099229173
kelly_25,100.0,0.03,0.1,5000.0,850,850,0,455,2789046.048953396,83672.85545293432,1062903.29788875,1063003.2978887502,10629.032978887502,0.38109922863683443,-0.22086418654427126,False,,5000.0,3281.2306458275243,7.812170441641692
