strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,full_kelly_fraction,bet_fraction,raw_stake_before_cap,stake,fee,net_pnl,bankroll_after,drawdown,hit_bet_cap
kelly_50,1,2024-12-14 15:15:00,12412025,HC,home,2.0,0.0,100.0,0.17771874546908828,0.08885937273454414,8.885937273454413,8.885937273454413,0.26657811820363236,-9.152515391658046,90.84748460834196,-0.09152515391658042,False
kelly_50,2,2024-12-14 16:00:00,12425775,OU,over,2.0,1.0,90.84748460834196,0.07660687649366049,0.038303438246830246,3.4797710165754876,3.4797710165754876,0.10439313049726462,3.375377886078223,94.22286249442018,-0.05777137505579816,False
kelly_50,3,2024-12-14 16:00:00,12425775,1X2,away,2.5,1.0,90.84748460834196,0.02103231786901712,0.01051615893450856,0.9553665869416442,0.9553665869416442,0.1,1.3330498804124662,95.55591237483264,-0.04444087625167356,False
kelly_50,4,2024-12-14 17:00:00,12623740,OU,under,2.009,0.0,95.55591237483264,0.04199518101169571,0.020997590505847857,2.0064439184594156,2.0064439184594156,0.1,-2.1064439184594157,93.44946845637322,-0.06550531543626775,False
kelly_50,5,2024-12-14 17:30:00,12406214,HC,away,1.94,0.0,93.44946845637322,0.1090790698363028,0.0545395349181514,5.096690547959056,5.096690547959056,0.15290071643877165,-5.249591264397827,88.1998771919754,-0.11800122808024596,False
kelly_50,6,2024-12-14 20:00:00,12623129,HC,away,1.94,1.0,88.1998771919754,0.3377390445349032,0.1688695222674516,14.894271125456788,14.894271125456788,0.4468281337637036,13.553786724165676,101.75366391614108,0.0,False
kelly_50,7,2024-12-14 20:00:00,12412010,OU,under,1.96,1.0,88.1998771919754,0.056103953474504156,0.028051976737252078,2.474180903217784,2.474180903217784,0.1,2.275213667089073,104.02887758323016,0.0,False
kelly_50,8,2024-12-14 20:00:00,12412010,1X2,draw,8.5,0.0,88.1998771919754,0.004285888081305996,0.002142944040652998,0.18900740121486995,0.18900740121486995,0.1,-0.28900740121486995,103.73987018201528,-0.002778145914182809,False
kelly_50,9,2024-12-15 11:30:00,12623894,1X2,home,1.84,0.0,103.73987018201528,0.036299161399244446,0.018149580699622223,1.8828351456368195,1.8828351456368195,0.1,-1.9828351456368196,101.75703503637845,-0.021838575976502995,False
kelly_50,10,2024-12-15 14:00:00,12623946,1X2,draw,8.4,0.0,101.75703503637845,0.004261848227735766,0.002130924113867883,0.2168365197147179,0.2168365197147179,0.1,-0.31683651971471793,101.44019851666374,-0.024884235288372643,False
kelly_50,11,2024-12-15 14:00:00,12623946,HC,home,1.97,1.0,101.75703503637845,0.2819309699199643,0.14096548495998215,14.344229791992984,14.344229791992984,0.4303268937597895,13.483576004473404,114.92377452113715,0.0,False
kelly_50,12,2024-12-15 14:00:00,12450183,HC,home,1.91,0.0,101.75703503637845,0.14065070593288753,0.07032535296644377,7.1560994057521,7.1560994057521,0.21468298217256299,-7.370782387924662,107.55299213321248,-0.06413627135583687,False
