partition,odds_type,n_sides,bettable_sides,raw_brier,cal_brier,raw_logloss,cal_logloss,mean_raw_ev,mean_cal_ev
A,1X2,2292,2286,0.17324983145506,0.17066762952280168,0.5190105412705839,0.5116201781547539,-0.14120978840144818,-0.14119873323712198
A,HC,921,614,0.119454244014719,0.11636685289373927,0.3520463946694888,0.3426983036216305,-0.05551888118147012,-0.05576782313438318
A,OU,874,874,0.26379418721429987,0.25417174967853046,0.7217135318085222,0.7015218868462285,-0.00400666527737103,-0.0036371456357045424
B,1X2,3441,3432,0.18066318778741633,0.18073080361414867,0.5391553804809343,0.5390220681285446,-0.08648513294411925,-0.05656464382131047
B,HC,1515,1010,0.10741179370506075,0.10639246242956454,0.3271154296906482,0.3234633853781919,-0.051093716981937556,-0.051087091466772545
B,OU,1206,1206,0.24823211631123532,0.24806233591825805,0.6896150080737125,0.6893232223152891,-0.0041795429504913,-0.0037763005949005687
