strategy,stake_mode,fraction_scale,bets,total_staked,total_pnl,turnover_roi,ending_bankroll,bankroll_return,max_drawdown,average_stake,median_stake,average_fraction,mc_p5_pnl,mc_p50_pnl,mc_p95_pnl,mc_p5_bankroll,mc_p50_bankroll,mc_p95_bankroll,mc_positive_prob,mc_actual_percentile
baseline_fixed,fixed,1.0,1054,1054.0,391.08500000000004,0.37104838709677423,491.0850000000016,3.910850000000016,-0.05827184683995152,1.0,1.0,0.0,349.2111000000009,409.6525000000014,469.10360000000077,449.2111000000009,509.6525000000014,569.1036000000007,1.0,31.119999999999997
kelly_100,kelly,1.0,1054,6.3178728810357496e+16,1.5888058792989308e+16,0.25147797513749004,1.5888058792989406e+16,158880587929893.06,-0.6268477960247618,59941867941515.65,860164.184925379,0.08755088159099894,161338270610801.25,1.6702270048141124e+16,1.4717645521464722e+18,161338270610901.25,1.6702270048141224e+16,1.4717645521464722e+18,1.0,49.29
kelly_50,kelly,0.5,1054,15820488058.287296,4922731914.77291,0.31116182361986106,4922732014.772909,49227319.14772909,-0.37135214432425634,15009950.719437663,2322.098391411015,0.04377544079549947,551652891.9065429,6398999049.502444,68136346242.10769,551652991.9065429,6398999149.502444,68136346342.10769,1.0,42.809999999999995
kelly_25,kelly,0.25,1054,2680833.933669731,1033666.4396135529,0.3855764531444106,1033766.439613553,10336.66439613553,-0.20208616595263212,2543.485705569005,59.85366157338659,0.021887720397749735,361605.5382722573,1304090.017578152,4571356.719786162,361705.5382722573,1304190.017578152,4571456.719786162,1.0,38.46
