strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,stake,fee,net_pnl,cumulative_pnl,bankroll_after,full_kelly_fraction,target_fraction,drawdown
kelly_100,30,2024-12-15 19:00:00,12406210,OU,under,1.95,0.0,0.792892472176378,0.0743301016091634,0.0011149515241374,-0.0754450531333008,-0.1557040423166377,0.8442959576833623,0.0937455004524608,0.0937455004524608,-0.7409291150360569
kelly_100,31,2024-12-15 19:45:00,12425776,1X2,draw,10.0,0.0,0.8442959576833623,0.0055934023231852,8.390103484777906e-05,-0.005677303358033,-0.16138134567467077,0.8386186543253292,0.0066249308341269,0.0066249308341269,-0.7426711866304894
kelly_100,32,2024-12-15 19:45:00,12425776,HC,home,2.02,1.0,0.8442959576833623,0.695440265311221,0.0104316039796683,0.6989174666377771,0.5375361209631064,1.5375361209631064,0.8236925203567458,0.8236925203567458,-0.5282094626925514
kelly_100,33,2024-12-16 20:00:00,12406221,HC,home,1.94,1.0,1.5375361209631064,0.6884530938636676,0.010326796407955,0.6368191118238925,1.1743552327869988,2.174355232786999,0.4477638505379784,0.4477638505379784,-0.3328025211327989
kelly_100,34,2024-12-18 20:00:00,12425800,1X2,home,2.95,0.0,2.174355232786999,0.0568297026876105,0.0008524455403141,-0.0576821482279247,1.116673084559074,2.116673084559074,0.0261363469182395,0.0261363469182395,-0.3505021974750066
kelly_100,35,2024-12-18 20:30:00,12435886,HC,home,1.89,0.0,2.116673084559074,0.1983672858031564,0.0029755092870473,-0.2013427950902037,0.9153302894688704,1.9153302894688704,0.0937165437828952,0.0937165437828952,-0.4122839170609429
kelly_100,36,2024-12-20 19:30:00,12623258,HC,home,1.7,1.0,1.9153302894688704,1.6833763381370077,0.0252506450720551,1.1531127916238502,2.0684430810927203,3.0684430810927203,0.8788961086204173,0.8788961086204173,-0.0584530729468342
kelly_100,37,2024-12-20 19:30:00,12623258,1X2,draw,13.5,0.0,1.9153302894688704,0.0090285268684413,0.0001354279030266,-0.0091639547714679,2.059279126321252,3.059279126321252,0.004713822424301,0.004713822424301,-0.061265018036478
kelly_100,38,2024-12-20 19:45:00,12623760,1X2,home,3.55,0.0,3.059279126321252,0.0697907580975555,0.0010468613714633,-0.0708376194690189,1.9884415068522334,2.9884415068522334,0.0228128115205617,0.0228128115205617,-0.0830014300109391
kelly_100,39,2024-12-20 19:45:00,12623760,1X2,draw,8.5,0.0,3.059279126321252,0.0240600490257987,0.0003609007353869,-0.0244209497611857,1.964020557091048,2.964020557091048,0.007864613862394,0.007864613862394,-0.0904949599854876
kelly_100,40,2024-12-20 20:00:00,12449967,1X2,draw,9.0,0.0,2.964020557091048,0.0150214413304794,0.0002253216199571,-0.0152467629504366,1.9487737941406111,2.948773794140611,0.0050679275130337,0.0050679275130337,-0.095173405185253
kelly_100,41,2024-12-20 20:00:00,12449967,HC,home,1.8,1.0,2.964020557091048,0.8575334373292781,0.0128630015599391,0.6731637483034834,2.6219375424440954,3.6219375424440954,0.2893142678372243,0.2893142678372243,0.0
kelly_100,42,2024-12-21 12:30:00,12449927,OU,under,1.85,0.0,3.6219375424440954,1.3760597460477526,0.0206408961907162,-1.396700642238469,1.2252369002056254,2.2252369002056254,0.3799236541001155,0.3799236541001155,-0.3856225089116173
kelly_100,43,2024-12-21 12:30:00,12449953,1X2,draw,9.0,1.0,3.6219375424440954,0.0190339168646559,0.0002855087529698,0.1519858261642779,1.3772227263699035,2.3772227263699035,0.0052551753423698,0.0052551753423698,-0.3436599338027937
kelly_100,44,2024-12-21 12:30:00,12449953,1X2,away,3.3,0.0,3.6219375424440954,0.0956687415636176,0.0014350311234542,-0.0971037726870719,1.2801189536828321,2.280118953682832,0.0264136916891891,0.0264136916891891,-0.3704698308673206
kelly_100,45,2024-12-21 12:30:00,12409753,1X2,away,1.61,0.0,3.6219375424440954,0.349800632538631,0.0052470094880794,-0.3550476420267104,0.9250713116561211,1.925071311656121,0.096578317113272,0.096578317113272,-0.4684968227372917
kelly_100,46,2024-12-21 12:30:00,12449953,OU,under,2.05,0.0,3.6219375424440954,0.2836267573168061,0.004254401359752,-0.2878811586765582,0.6371901529795632,1.6371901529795632,0.07830801994598,0.07830801994598,-0.5479794629824615
kelly_100,47,2024-12-21 12:30:00,12449928,HC,home,1.85,0.0,3.6219375424440954,0.6898526355240623,0.0103477895328609,-0.7002004250569233,-0.06301027207735999,0.93698972792264,0.1904650832434144,0.1904650832434144,-0.7413015224745272
kelly_100,48,2024-12-21 12:30:00,12409753,OU,under,2.06,1.0,3.6219375424440954,0.1372419580062172,0.0020586293700932,0.143417846116497,0.08040757403913679,1.0804075740391368,0.0378918621312298,0.0378918621312298,-0.701704526547392
kelly_100,49,2024-12-21 13:00:00,12412656,1X2,away,3.2,0.0,1.0804075740391368,0.02868954622668,0.0004303431934002,-0.0291198894200802,0.05128768461905642,1.0512876846190564,0.0265543734753943,0.0265543734753943,-0.7097443916965933
kelly_100,50,2024-12-21 14:00:00,12624186,1X2,home,2.1,1.0,1.0512876846190564,0.0549989006391159,0.0008249835095867,0.0596738071934407,0.11096149181249726,1.1109614918124973,0.0523157471011802,0.0523157471011802,-0.6932687328830035
kelly_100,51,2024-12-21 14:30:00,12623180,1X2,home,1.79,1.0,1.1109614918124973,0.0428116217355314,0.0006421743260329,0.0331790068450368,0.1441404986575341,1.144140498657534,0.0385356486710315,0.0385356486710315,-0.6841081644148218
kelly_100,52,2024-12-21 14:30:00,12623283,HC,home,1.88,1.0,1.1109614918124973,0.8883153571220977,0.0133247303568314,0.7683927839106145,0.9125332825681487,1.9125332825681487,0.7995914922963174,0.7995914922963174,-0.4719585138738849
kelly_100,53,2024-12-21 14:30:00,12623283,1X2,away,3.8,0.0,1.1109614918124973,0.0197175049056539,0.0002957625735848,-0.0200132674792387,0.8925200150889097,1.8925200150889097,0.0177481443335047,0.0177481443335047,-0.477484083336282
kelly_100,54,2024-12-21 14:30:00,12623249,1X2,draw,7.7,0.0,1.1109614918124973,0.0077998437888104,0.0001169976568321,-0.0079168414456426,0.8846031736432676,1.8846031736432676,0.007020804813032,0.007020804813032,-0.4796698861981117
kelly_100,55,2024-12-21 15:00:00,12409780,OU,under,2.05,0.0,1.8846031736432676,0.1738211652820127,0.0026073174792301,-0.1764284827612429,0.7081746908820243,1.7081746908820243,0.0922322363205968,0.0922322363205968,-0.528380964369324
kelly_100,56,2024-12-21 15:00:00,12409799,1X2,home,2.79,1.0,1.8846031736432676,0.0566130298927233,0.0008491954483908,0.100488128059584,0.8086628189416083,1.8086628189416083,0.0300397615182195,0.0300397615182195,-0.5006366626297157
kelly_100,57,2024-12-21 15:15:00,12412057,1X2,away,2.07,1.0,1.8086628189416083,0.092019636132502,0.0013802945419875,0.0970807161197896,0.905743535061398,1.905743535061398,0.0508771647035625,0.0508771647035625,-0.4738331313754801
