model,home_MAE,away_MAE,diff_MAE,home_RMSE,away_RMSE,diff_RMSE,home_NLL,away_NLL,home_CRPS,away_CRPS
Diff-blend,2.277670070042282,1.994388885722511,3.351328784063239,2.8875048554652087,2.5178068833933263,4.223105519155925,2.4812081231307825,2.3159860785523882,1.6146308989713118,1.397118011261949
Direct blend,2.277919435028785,1.9914457430408046,3.34708005699326,2.888666379407116,2.514837343985469,4.2211549696227815,2.4814973060888343,2.3144590600908725,1.6154743220817995,1.3939493118832258
Direct LGB,2.279823877211745,1.9813544841357575,3.338002466238079,2.8878668796251734,2.5065395603187426,4.2059330159598645,2.4812055445721057,2.3094141475905365,1.615789366669905,1.388508103221635
Direct XGB,2.2859880924224854,2.0087010860443115,3.3688578605651855,2.8992403877127244,2.5315827515963076,4.251097144833843,2.4868626496229593,2.3241106203102677,1.621225855269561,1.4045484275186204
Mean baseline,2.3905896963208777,2.0909027343113467,3.5651979207297124,3.0446303594278694,2.631148992510636,4.535126445539193,2.563149960633898,2.3816498951759475,1.7080019596459732,1.4640069795298503
